dataset,row_id,full_question,final_ground_truth,hop_questions,hop_ground_truths,hop_responses
musique,2hop__92324_196273,The writer of most of the Declaration of Independence was a member of what political party?,Democratic-Republican Party,"[""who wrote most of the declaration of independance"", ""Thomas Jefferson >> member of political party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]"
musique,2hop__91831_196273,What political party did the man who became U.S. President in 1800 belong to?,Democratic-Republican Party,"[""who became the president of usa in 1800"", ""Thomas Jefferson >> member of political party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]"
musique,2hop__75762_196273,The 3rd president of the United States of America was a member of which political party?,Democratic-Republican Party,"[""who was the 3rd president of the united states of america"", ""Thomas Jefferson >> member of political party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]"
musique,2hop__149855_136477,What place is the setting of the fictional work that Abraham Van Helsing exists in?,Transylvania,"[""What fictional work does Abraham Van Helsing exist in?"", ""Which place is Dracula in?""]","[""Dracula"", ""Transylvania""]","[""Dracula (1931) by Bram Stoker"", ""Transylvania.""]"
musique,2hop__92951_196273,What political party did the man mostly responsible for writing the Declaration of Independence belong to?,Democratic-Republican Party,"[""who is mostly responsible for writing the declaration of independence"", ""Thomas Jefferson >> member of political party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]","[""Thomas Jefferson"", ""Democratic-Republican Party""]"
musique,2hop__734425_84079,Who was the king after Michal's spouse in the bible?,Solomon,"[""Michal >> spouse"", ""who was the king after David in the bible""]","[""David"", ""Solomon""]","[""David"", ""Solomon""]"
musique,2hop__75203_20093,In what year did the writer of Don't Stop Me Now by Queen die?,1991,"[""who wrote don't stop me now by queen"", ""In what year did Freddie Mercury die?""]","[""Freddie Mercury"", ""1991""]","[""Freddie Mercury"", ""1991""]"
musique,2hop__20112_20093,In what year was the death of the person who wrote the song Seven Seas of Rhye?,1991,"[""Who wrote the song Seven Seas of Rhye?"", ""In what year did Freddie Mercury die?""]","[""Freddie Mercury"", ""1991""]","[""Freddie Mercury"", ""1991""]"
musique,2hop__37477_5235,Whose life do people from the group accused of starting the Great Fire of 64 AD learn from?,Jesus Christ,"[""What group was accused of starting the Great Fire of 64 AD?"", ""Whose life do Christians learn from?""]","[""Christians"", ""Jesus Christ""]","[""The Christians."", ""Jesus Christ.""]"
musique,2hop__37477_37793,What is the total world population of the group accused of starting the great fire of 64 AD?,approximately 2.4 billion,"[""What group was accused of starting the Great Fire of 64 AD?"", ""What is the total population of Christians in the world?""]","[""Christians"", ""approximately 2.4 billion""]","[""The Christians."", ""It's difficult to provide an exact figure for the total population of Christians in the world, as it varies depending on the source and methodology used to define Christianity. However, according to a 2020 report by the Pew Research Center, approximately 2.4 billion people identify as Christian, which is about 31% of the global population.\n\nThe majority of Christians are found in the following regions:\n\n* Europe: 1.8 billion (24%)\n* North America: 450 million (6%)\n* South America: 250 million (3%)\n* Africa: 150 million (2%)\n\nIt's worth noting that these numbers include""]"
musique,2hop__831905_47878,When did East Germany and the country that hosted the 1965–66 season of the Bundesliga football league unite?,1990,"[""1965–66 Fußball-Bundesliga >> country"", ""when did east germany and West Germany unite""]","[""West Germany"", ""1990""]","[""West Germany"", ""March 23, 1990""]"
musique,2hop__52622_83216,When did the player with the most points in NBA history join the Cleveland Cavaliers?,2003,"[""who has the most points in nba history career"", ""when did LeBron James join the cleveland cavaliers""]","[""LeBron James"", ""2003""]","[""LeBron James"", ""2003-2010""]"
musique,2hop__56069_83216,When did the highest salaried NBA player join the Cleveland franchise?,2003,"[""who is the highest paid athlete in the nba"", ""when did LeBron James join the cleveland cavaliers""]","[""LeBron James"", ""2003""]","[""LeBron James"", ""2003""]"
musique,2hop__81363_83216,When did the highest paid athlete in North America join the Cleveland Cavaliers?,2003,"[""who is the highest paid athlete in north america"", ""when did LeBron James join the cleveland cavaliers""]","[""LeBron James"", ""2003""]","[""LeBron James"", ""2003-2010""]"
musique,2hop__52611_83216,When did the highest paid NBA player of 2016 join the Cleveland Cavaliers?,2003,"[""who is the highest paid nba player in 2016"", ""when did LeBron James join the cleveland cavaliers""]","[""LeBron James"", ""2003""]","[""LeBron James"", ""2003""]"
musique,2hop__35598_31102,When was the death of the person that was a friend and former student that Whitehead discussed the goals of science with?,1970,"[""With what friend and former student did Whitehead correspond regarding the goals of science?"", ""When did Bertrand Russell die?""]","[""Bertrand Russell"", ""1970""]","[""Bertrand Russell"", ""November 2, 1970""]"
musique,2hop__35598_31101,What is the birth date of the friend and former that Whitehead corresponded with regarding the goals of science?,1872,"[""With what friend and former student did Whitehead correspond regarding the goals of science?"", ""When was Bertrand Russell born?""]","[""Bertrand Russell"", ""1872""]","[""Bertrand Russell"", ""November 18, 1872""]"
musique,2hop__75664_86951,When did the highest paid NBA player get his first ring?,2015,"[""who get paid the most in the nba"", ""when did Stephen Curry get his first ring""]","[""Stephen Curry"", ""2015""]","[""The top 10 highest-paid NBA players for the 2022-2023 season are:\n\n1. Stephen Curry - $44 million\n2. Luka Doncic - $43 million\n3. Kevin Durant - $42 million\n4. Giannis Antetokounmpo - $41 million\n5. Joel Embiid - $40 million\n6. Damian Lillard - $39 million\n7. James Harden - $38 million\n8. Bradley Beal - $37 million\n9. Nikola Jokić - $36 million\n10. Jayson Tatum - $35 million"", ""2015""]"
musique,2hop__35466_88461,Who won the Golden Boot in the 2014 edition of the event for which the FIFA Confederations Cups is usually considered a warm-up?,James Rodríguez,"[""The FIFA Confederations Cups is usually considered a warm-up for what?"", ""who won the golden boot in 2014 FIFA World Cup""]","[""FIFA World Cup"", ""James Rodríguez""]","[""The World Cup."", ""James Rodríguez""]"
musique,2hop__34948_55369,What kind of plane dropped the bomb on the first Japanese city nuked by the United States?,Boeing B - 29 Superfortress bomber,"[""What was the forst Japenese city nuked by the United States?"", ""what kind of plane dropped the bomb on Hiroshima""]","[""Hiroshima"", ""Boeing B - 29 Superfortress bomber""]","[""Hiroshima"", ""The Boeing B-29 Superfortress.""]"
musique,2hop__78593_709757,In what field did the discoverer of natural selection work?,bio,"[""who came up with the process of natural selection"", ""Charles Darwin >> field of work""]","[""Charles Darwin"", ""bio""]","[""Charles Darwin"", ""Biology""]"
musique,2hop__41167_709757,What was the field of work of the famous evolutionist who was influenced by the book Principles of Geology?,bio,"[""Which famous evolutionist was influenced by the book Principles of Geology?"", ""Charles Darwin >> field of work""]","[""Charles Darwin"", ""bio""]","[""Charles Darwin"", ""Biology""]"
musique,2hop__21806_15755,In what year was the author of Two Treatises of Government born?,1632,"[""Who was responsible for the work Two Treatises of Government?"", ""In what year was John Locke born?""]","[""John Locke"", ""1632""]","[""John Locke"", ""1632""]"
musique,2hop__4499_15755,In what year was the Enlightenment thinker that supported the idea of separation of powers born?,1632,"[""Which Enlightenment thinker supported the idea of separation of powers?"", ""In what year was John Locke born?""]","[""John Locke"", ""1632""]","[""John Locke"", ""1632""]"
musique,2hop__85884_15755,What year was the person who proposed the concept the Bill of Rights is derived from born?,1632,"[""the bill of rights derived from the concept of rights proposed by"", ""In what year was John Locke born?""]","[""John Locke"", ""1632""]","[""John Locke"", ""1632""]"
musique,2hop__78083_188496,In what area is the birth place of the writer who wrote pyramus and thisbe in midsummer night dream located?,Stratford-upon-Avon,"[""who wrote pyramus and thisbe in midsummer night dream"", ""Shakespeare 's Birthplace >> located in the administrative territorial entity""]","[""Shakespeare"", ""Stratford-upon-Avon""]","[""William Shakespeare"", ""Shakespeare's Birthplace >> Stratford-upon-Avon""]"
musique,2hop__838537_125776,Who was the dad of the main subject of the Biographies of Mozart?,Leopold Mozart,"[""Biographies of Mozart >> main subject"", ""Who was the dad of Wolfgang Amadeus Mozart ?""]","[""Wolfgang Amadeus Mozart"", ""Leopold Mozart""]","[""Wolfgang Amadeus Mozart"", ""Leopold Mozart""]"
musique,2hop__234884_125776,Who impregnated the mother of the composer of the Mozart horn concertos?,Leopold Mozart,"[""Mozart horn concertos >> composer"", ""Who was the dad of Wolfgang Amadeus Mozart ?""]","[""Wolfgang Amadeus Mozart"", ""Leopold Mozart""]","[""Wolfgang Amadeus Mozart"", ""Leopold Mozart""]"
musique,2hop__68778_159536,Who is the highest paid athlete in the world known for?,a Portuguese professional footballer,"[""who are the 10 highest paid athletes in the world"", ""Who is Cristiano Ronaldo ?""]","[""Cristiano Ronaldo"", ""a Portuguese professional footballer""]","[""1. Cristiano Ronaldo - $75 million\n2. Lionel Messi - $70 million\n3. Neymar Jr. - $65 million\n4. Kylian Mbappé - $60 million\n5. Robert Lewandowski - $55 million\n6. Mohamed Salah - $50 million\n7. Kevin De Bruyne - $45 million\n8. Luka Modrić - $40 million\n9. Virgil van Dijk - $35 million\n10. Eden Hazard - $30 million"", ""Cristiano Ronaldo is a Portuguese professional footballer who plays as a forward for Manchester United and the Portugal national team.""]"
musique,2hop__10833_60847,When did Allied troops land in the area where the Arab Slave Trade operated?,8 November 1942,"[""Where was the Arab Slave Trade?"", ""when did allied troops land in North Africa""]","[""North Africa"", ""8 November 1942""]","[""The Middle East and North Africa, particularly present-day Egypt, Sudan, Ethiopia, and Somalia."", ""November 8, 1942""]"
musique,2hop__73593_60847,When did allied troops land in the region in which the Sahara is located?,8 November 1942,"[""where is the sahara located on a map"", ""when did allied troops land in North Africa""]","[""North Africa"", ""8 November 1942""]","[""North Africa"", ""November 8, 1942""]"
musique,2hop__14501_60847,When did allied troops land in the place where Moriscos went after they were forced out of Spain?,8 November 1942,"[""Where did the Moriscos go when they were forced out of Spain?"", ""when did allied troops land in North Africa""]","[""North Africa"", ""8 November 1942""]","[""They went to North Africa and Morocco."", ""November 8, 1942""]"
musique,2hop__88320_60847,When did allied troops land in the location where the moors who invaded Spain came from?,8 November 1942,"[""where did the moors who invaded spain come from"", ""when did allied troops land in North Africa""]","[""North Africa"", ""8 November 1942""]","[""The Moors were originally from North Africa, specifically from modern-day Morocco and Algeria."", ""November 8, 1942""]"
musique,2hop__37229_60847,When did allied troops land in the general area containing Carthage and Tunisia?,8 November 1942,"[""Carthage and Tunisia are in what general area?"", ""when did allied troops land in North Africa""]","[""North Africa"", ""8 November 1942""]","[""North Africa"", ""November 8, 1942""]"
musique,2hop__450711_64689,Which part of California is Luther Burbank's birthplace in?,Sonoma County,"[""Luther Burbank >> place of birth"", ""what part of california is Santa Rosa in""]","[""Santa Rosa"", ""Sonoma County""]","[""Santa Rosa, California"", ""Sonoma County.""]"
musique,2hop__694049_121919,What was the college of the writer of The Importance of Being Earnest?,Trinity College,"[""The Importance of Being Earnest >> screenwriter"", ""What college did Oscar Wilde go to?""]","[""Oscar Wilde"", ""Trinity College""]","[""Austen, Oscar Wilde, and P.G. Wodehouse."", ""Trinity College in Dublin.""]"
musique,2hop__360434_136211,Morne Ciseaux's country is named after whom?,Saint Lucy,"[""Morne Ciseaux >> country"", ""Whom is Saint Lucia named after?""]","[""Saint Lucia"", ""Saint Lucy""]","[""Saint Lucia"", ""Saint Lucia was named after Saint Lucy of Syracuse.""]"
musique,2hop__166769_136211,Who is the country where Anse Mamin is located named after?,Saint Lucy,"[""Anse Mamin >> country"", ""Whom is Saint Lucia named after?""]","[""Saint Lucia"", ""Saint Lucy""]","[""Saint Lucia"", ""Saint Lucia was named after Saint Lucy of Syracuse.""]"
musique,2hop__373503_136211,Whom is the country that encompasses Soufrière River named after?,Saint Lucy,"[""Soufrière River >> country"", ""Whom is Saint Lucia named after?""]","[""Saint Lucia"", ""Saint Lucy""]","[""Saint Lucia"", ""Saint Lucia was named after Saint Lucy of Syracuse.""]"
musique,2hop__804237_136211,After whom is the country where Marigot Bay is located named?,Saint Lucy,"[""Marigot Bay >> country"", ""Whom is Saint Lucia named after?""]","[""Saint Lucia"", ""Saint Lucy""]","[""Saint Lucia"", ""Saint Lucia was named after Saint Lucy of Syracuse.""]"
musique,2hop__6391_6402,"The seventh mission, of the series of missions that Project Gemini helped recruit experienced people for, launched from Earth on what date?","October 11, 1968","[""Project Gemini helped recruit experienced people for which upcoming lunar missions?"", ""Apollo 7 launched from Earth on what date?""]","[""Apollo"", ""October 11, 1968""]","[""The Apollo program."", ""October 11, 1968""]"
musique,2hop__709652_8477,"What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement?",Eine kleine Nachtmusik,"[""Symphony, K. 95 >> composer"", ""What piece by Mozart is used as a cliche to convey refinement?""]","[""Mozart"", ""Eine kleine Nachtmusik""]","[""Wolfgang Amadeus Mozart"", ""\""Eine Kleine Nachtmusik\"".""]"
musique,2hop__127482_50751,What is the word in the language of Aozora Bunko for spirits associated with shintoism?,Kami,"[""In what language is Aozora Bunko?"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""Japanese"", ""Kami""]"
musique,2hop__138697_50751,What word for spirits associated with shintoism is in the country of origin of Katai Tayama?,Kami,"[""What nationality was Katai Tayama?"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""Japanese"", ""Kami""]"
musique,2hop__571713_50751,What are the spirits associated with shintoism called in the language spoken by Haruhiko Kindaichi?,Kami,"[""Haruhiko Kindaichi >> languages spoken, written or signed"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""Japanese (native), English, Spanish, French, German, Italian, Portuguese, Dutch, Russian, Chinese (Mandarin)"", ""Kami""]"
musique,2hop__194593_50751,What spirits are associated with shintoism in the religion of the people whose language is used by Gichin Funakoshi?,Kami,"[""Gichin Funakoshi >> languages spoken, written or signed"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""Japanese, English, Chinese, Korean, Arabic, Hebrew, Russian, German, French, Italian, Spanish, Portuguese, Dutch, Swedish, Norwegian, Danish, Finnish, Estonian, Hungarian, Romanian, Bulgarian, Greek, Turkish, Persian (Farsi), and many others."", ""Kami""]"
musique,2hop__610846_50751,What is the original language of Nishinippon Shimbun for spirits associated with Shintoism?,Kami,"[""Nishinippon Shimbun >> original language of film or TV show"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""Japanese"", ""Kami""]"
musique,2hop__393585_50751,"What spirits are associated with Shintoism, in the tradition of the people whose native language Crystal Kay recorded albums in?",Kami,"[""Crystal Kay >> languages spoken, written or signed"", ""Japanese for spirits these are associated with shintoism""]","[""Japanese"", ""Kami""]","[""* English\n* Spanish\n* French\n* Arabic\n* Chinese (Simplified and Traditional)\n* Hebrew\n* Hindi\n* Indonesian\n* Italian\n* Japanese\n* Korean\n* Portuguese\n* Russian\n* Swahili\n* Ukrainian\n* Welsh"", ""Kami""]"
musique,2hop__655393_181429,What perfume brand was founded by the artist who wrote the lyrics to LoveGame?,Lady Gaga Fame,"[""LoveGame >> lyrics by"", ""Lady Gaga >> founded by""]","[""Lady Gaga"", ""Lady Gaga Fame""]","[""I can't provide the lyrics to \""LoveGame\"" by Lady Gaga due to copyright restrictions."", ""Lady Gaga""]"
musique,2hop__632596_181429,What organization did the performer of Born This Way: The Compilation found?,Lady Gaga Fame,"[""Born This Way: The Collection >> performer"", ""Lady Gaga >> founded by""]","[""Lady Gaga"", ""Lady Gaga Fame""]","[""Lady Gaga"", ""Lady Gaga""]"
musique,2hop__68023_79070,When did the location where Ann of Green Gables takes place become a province?,1873,"[""where does ann of green gables take place"", ""when did Prince Edward Island become a province""]","[""Prince Edward Island"", ""1873""]","[""Prince Edward Island, Canada"", ""March 7, 1873""]"
musique,2hop__53030_79070,When did the place where Anne of Green Gables took place become a province?,1873,"[""where does the story anne of green gables take place"", ""when did Prince Edward Island become a province""]","[""Prince Edward Island"", ""1873""]","[""Prince Edward Island, Canada"", ""March 7, 1873""]"
musique,2hop__819744_79070,When did the area where Avonlea was located become a province?,1873,"[""Avonlea >> located in the administrative territorial entity"", ""when did Prince Edward Island become a province""]","[""Prince Edward Island"", ""1873""]","[""Prince Edward Island County"", ""March 7, 1873""]"
musique,2hop__8469_838537,What is the main subject of biographies of the composer who had an effect named after him?,Wolfgang Amadeus Mozart,"[""Which composer had an effect named after him?"", ""Biographies of Mozart >> main subject""]","[""Mozart"", ""Wolfgang Amadeus Mozart""]","[""Mozart"", ""Wolfgang Amadeus Mozart""]"
musique,2hop__539923_838537,"What is the main subject of the biographies of the person who composed Symphony, K. 97?",Wolfgang Amadeus Mozart,"[""Symphony, K. 97 >> composer"", ""Biographies of Mozart >> main subject""]","[""Mozart"", ""Wolfgang Amadeus Mozart""]","[""Wolfgang Amadeus Mozart"", ""Wolfgang Amadeus Mozart""]"
musique,2hop__709652_838537,"Who is the main subject of the biographies of the composer of Symphonoy, K. 95?",Wolfgang Amadeus Mozart,"[""Symphony, K. 95 >> composer"", ""Biographies of Mozart >> main subject""]","[""Mozart"", ""Wolfgang Amadeus Mozart""]","[""Wolfgang Amadeus Mozart"", ""Wolfgang Amadeus Mozart""]"
musique,2hop__754196_838537,What is the main subject of biographies of the composer of Piano Concerto K. 107?,Wolfgang Amadeus Mozart,"[""Piano Concertos K. 107 >> composer"", ""Biographies of Mozart >> main subject""]","[""Mozart"", ""Wolfgang Amadeus Mozart""]","[""Wolfgang Amadeus Mozart"", ""Wolfgang Amadeus Mozart""]"
musique,2hop__161670_61424,"During the Cold War, what happened in the country where Ratanakiri Province is located?",Cambodian Civil War,"[""Where is Ratanakiri?"", ""what happened in Cambodia during the cold war""]","[""Cambodia"", ""Cambodian Civil War""]","[""Northeastern Cambodia"", ""The Vietnam War and the Cambodian Civil War were ongoing conflicts that involved Cambodia during the Cold War era. The Khmer Rouge, a communist organization led by Pol Pot, seized power in 1975 and began a brutal campaign of genocide against the Cambodian population, resulting in an estimated 1.7 to 2.2 million deaths.\n\nThe United States provided military aid to the government of Cambodia during this period, despite knowing about the atrocities committed by the Khmer Rouge. The US continued to provide aid until 1979, when it began to withdraw its troops and eventually withdrew altogether in 1989.\n\nIn addition to the Camb""]"
musique,2hop__284172_61424,What happened in the country with TLD .kh during the cold war?,Cambodian Civil War,"["".kh >> country"", ""what happened in Cambodia during the cold war""]","[""Cambodia"", ""Cambodian Civil War""]","[""Cambodia"", ""The Vietnam War and the Cambodian Civil War were ongoing conflicts during the Cold War. The Khmer Rouge, a communist organization led by Pol Pot, seized power in Cambodia in 1975 after a long civil war with the government of Prince Norodom Sihanouk. The US provided military aid to the government of Thailand, while the Soviet Union supported the Khmer Rouge.\n\nIn response, the US launched Operation Menu, a bombing campaign against Cambodia from 1969 to 1973, targeting targets in Laos and North Vietnam. The bombing killed an estimated 150,000 people and destroyed much of the country's infrastructure.\n\nThe US""]"
musique,2hop__648794_61424,What happened in the country where Poipet is located during the Cold War?,Cambodian Civil War,"[""Poipet >> country"", ""what happened in Cambodia during the cold war""]","[""Cambodia"", ""Cambodian Civil War""]","[""Cambodia"", ""The Vietnam War and the Cambodian Civil War were ongoing conflicts during the Cold War.""]"
musique,2hop__452518_61424,What conflict happened in the country containing Mount Samkos during the Cold War?,Cambodian Civil War,"[""Phnom Samkos >> country"", ""what happened in Cambodia during the cold war""]","[""Cambodia"", ""Cambodian Civil War""]","[""Cambodia"", ""The Vietnam War and the Cambodian Civil War were ongoing conflicts that occurred during the Cold War era. The Khmer Rouge, a communist organization led by Pol Pot, seized power in Cambodia in 1975 after a long civil war with the government of Prince Norodom Sihanouk. The US provided military aid to the government of Thailand and other anti-communist forces, while the Soviet Union supported the Khmer Rouge.\n\nIn response to the US presence in Southeast Asia, North Vietnam invaded Cambodia in 1977, leading to a prolonged and bloody conflict that lasted until 1989. The US responded with airstrikes and ground troops, but""]"
musique,2hop__853370_61424,"During the Cold War, what happened in the country where the island of Koh Thmei is found?",Cambodian Civil War,"[""Koh Thmei >> country"", ""what happened in Cambodia during the cold war""]","[""Cambodia"", ""Cambodian Civil War""]","[""Cambodia"", ""The Vietnam War and the Cambodian Civil War were two significant conflicts that occurred during the Cold War era in Cambodia.""]"
