uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
42,The Call of the Wild,Jack London,San Francisco,The author of the novel The Call of the Wild is,"Jack London|John Griffith Chaney|John Griffith ""Jack"" London|John Griffith Chaney London|John Griffith ""Jack London"" Chaney",Jack London,Jack London,Jack London was born in the city of,"San Francisco|San Francisco, California|The City by the Bay|SF|SFO|The Golden City|Paris of the West|Baghdad by the Bay|San Francisco County|San Francisco County, California|San Fran|Frisco|City and County of San Francisco|San Francisco, CA",San Francisco.,San Francisco,birthcity of novel's author,novel-author-birthcity
43,It,Stephen King,Portland,The author of the novel It is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
53,The Magic Mountain,Thomas Mann,Lübeck,The author of the novel The Magic Mountain is,Thomas Mann|Paul Thomas Mann,Thomas Mann,Thomas Mann,Thomas Mann was born in the city of,Lübeck|Hanseatic City of Lübeck|Lubeck|Lybeck|Kreisfreie Stadt Lübeck,Lübeck,Lübeck,birthcity of novel's author,novel-author-birthcity
77,Mrs Dalloway,Virginia Woolf,London,The author of the novel Mrs Dalloway is,"Virginia Woolf|Virxhinia Ulf|Virginia yo ""juanito"" Adeline Woolf|Virg̔inyah Vold|Virdžiniâ Vulf|Virdzhiniia Vulf|Virzhinia Ulf|Virginia Stephen|Virzhin︠iia Ulf|Adeline Virginia Stephen|Virginyah Volf|Adeline Virginia Woolf|Virginia Adeline Woolf|Adeline Virginia Stephen Woolf|Birtzinia Gulph|Virginia Stephen Woolf|Woolf, Virginia, 1882-1941",Virginia Woolf.,Virginia Woolf,Virginia Woolf was born in the city of,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London.,London,birthcity of novel's author,novel-author-birthcity
81,Misery,Stephen King,Portland,The author of the novel Misery is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King.,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
123,Where the Wild Things Are,Maurice Sendak,New York City,The author of the novel Where the Wild Things Are is,Maurice Sendak|Maurice Bernard Sendak,Maurice Sendak,Maurice Sendak,Maurice Sendak was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
125,The Dead Zone,Stephen King,Portland,The author of the novel The Dead Zone is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
129,Firestarter,Stephen King,Portland,The author of the novel Firestarter is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
134,Metro 2033,Dmitry Glukhovsky,Moscow,The author of the novel Metro 2033 is,Dmitry Glukhovsky|Dmitry Alekseyevich Glukhovsky|Dmitry Alexeevich Glukhovsky,Dmitry Glukhovsky,Dmitry Glukhovsky,Dmitry Glukhovsky was born in the city of,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow.,Moscow,birthcity of novel's author,novel-author-birthcity
137,Cujo,Stephen King,Portland,The author of the novel Cujo is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
149,Bag of Bones,Stephen King,Portland,The author of the novel Bag of Bones is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
166,Dreamcatcher,Stephen King,Portland,The author of the novel Dreamcatcher is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
170,Holes,Louis Sachar,New York City,The author of the novel Holes is,Louis Sachar,Louis Sachar,Louis Sachar,Louis Sachar was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
171,The Song of Hiawatha,Henry Wadsworth Longfellow,Portland,The author of the novel The Song of Hiawatha is,Henry Wadsworth Longfellow|Henry W. Longfellow|H. W. Longfellow|Longfellow,Henry Wadsworth Longfellow,Henry Wadsworth Longfellow,Henry Wadsworth Longfellow was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
178,Dolores Claiborne,Stephen King,Portland,The author of the novel Dolores Claiborne is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
193,Desperation,Stephen King,Portland,The author of the novel Desperation is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
220,A Passage to India,E. M. Forster,London,The author of the novel A Passage to India is,E. M. Forster|EM Forster|E Forster|Edward Morgan Forster,E.M. Forster,E. M. Forster,E. M. Forster was born in the city of,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London,London,birthcity of novel's author,novel-author-birthcity
225,The Crucible,Arthur Miller,New York City,The author of the novel The Crucible is,Arthur Miller|Arthur Asher Miller,Arthur Miller,Arthur Miller,Arthur Miller was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
233,The Dark Tower IV: Wizard and Glass,Stephen King,Portland,The author of the novel The Dark Tower IV: Wizard and Glass is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
236,The Age of Innocence,Edith Wharton,New York City,The author of the novel The Age of Innocence is,Edith Wharton|Edith Newbold Jones|Edith Newbold Jones Wharton|Edith Jones,Edith Wharton,Edith Wharton,Edith Wharton was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
245,The Dark Tower V: Wolves of the Calla,Stephen King,Portland,The author of the novel The Dark Tower V: Wolves of the Calla is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
264,Psycho,Robert Bloch,Chicago,The author of the novel Psycho is,Robert Bloch|Tarleton Fiske|Will Folke|Nathan Hindin|E. K. Jarvis|Floyd Scriltch|Wilson Kane|John Sheldon|Collier Young|Robert Albert Bloch,Robert Bloch.,Robert Bloch,Robert Bloch was born in the city of,"Chicago|Chicago, Illinois|The Windy City|City by the Lake|The Queen of the West|Chi-Town|Chitown|The Second City|City of Chicago|City of Broad Shoulders|Chi-Raq|Chicago, IL",Chicago.,Chicago,birthcity of novel's author,novel-author-birthcity
318,The Mist,Stephen King,Portland,The author of the novel The Mist is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the city of,"Portland|Portland, Maine|Portland Maine|Portland, ME","Portland, Maine.",Portland,birthcity of novel's author,novel-author-birthcity
341,Like Water for Chocolate,Laura Esquivel,Mexico City,The author of the novel Like Water for Chocolate is,Laura Esquivel|Laura Beatriz Esquivel Valdés,Laura Esquivel,Laura Esquivel,Laura Esquivel was born in the city of,"Mexico City|Mexico D.F.|Ciudad de México|City of Mexico|Mexico City, Mexico|CDMX|Mexico",Mexico City.,Mexico City,birthcity of novel's author,novel-author-birthcity
435,The House of Mirth,Edith Wharton,New York City,The author of the novel The House of Mirth is,Edith Wharton|Edith Newbold Jones|Edith Newbold Jones Wharton|Edith Jones,Edith Wharton,Edith Wharton,Edith Wharton was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
445,House of Leaves,Mark Z. Danielewski,New York City,The author of the novel House of Leaves is,Mark Z. Danielewski,Mark Z. Danielewski,Mark Z. Danielewski,Mark Z. Danielewski was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
477,Big Little Lies,Liane Moriarty,Sydney,The author of the novel Big Little Lies is,Liane Moriarty|Lian Moriarty,Liane Moriarty,Liane Moriarty,Liane Moriarty was born in the city of,"Sydney|Sydney, Australia|Sydney, New South Wales, Australia|Sydney, New South Wales|Sydney, NSW, Australia|Sydney, NSW|Emerald City|Harbour City|Port Jackson|Greater Sydney|Sydney, N.S.W.|Gadi|Eora|Sydney, N. S. W.","Sydney, Australia.",Sydney,birthcity of novel's author,novel-author-birthcity
573,Elegia di Madonna Fiammetta,Giovanni Boccaccio,Florence,The author of the novel Elegia di Madonna Fiammetta is,Giovanni Boccaccio|Giovanni Boccace|Boccaccio|Boccace|Joanni B. de Certaldo,Giovanni Boccaccio,Giovanni Boccaccio,Giovanni Boccaccio was born in the city of,"Florence|Firenze|Florence, Italy|Florence, Tuscany|Florencia|Florentia|Florenz|Firenca|Florencie|Fiuränza|Florentzia|Firense|Firenz|Firenzi|Florence Municipality",Florence.,Florence,birthcity of novel's author,novel-author-birthcity
749,Nine Perfect Strangers,Liane Moriarty,Sydney,The author of the novel Nine Perfect Strangers is,Liane Moriarty|Lian Moriarty,Liane Moriarty,Liane Moriarty,Liane Moriarty was born in the city of,"Sydney|Sydney, Australia|Sydney, New South Wales, Australia|Sydney, New South Wales|Sydney, NSW, Australia|Sydney, NSW|Emerald City|Harbour City|Port Jackson|Greater Sydney|Sydney, N.S.W.|Gadi|Eora|Sydney, N. S. W.","Sydney, Australia",Sydney,birthcity of novel's author,novel-author-birthcity
923,Corbaccio,Giovanni Boccaccio,Florence,The author of the novel Corbaccio is,Giovanni Boccaccio|Giovanni Boccace|Boccaccio|Boccace|Joanni B. de Certaldo,Giovanni Boccaccio,Giovanni Boccaccio,Giovanni Boccaccio was born in the city of,"Florence|Firenze|Florence, Italy|Florence, Tuscany|Florencia|Florentia|Florenz|Firenca|Florencie|Fiuränza|Florentzia|Firense|Firenz|Firenzi|Florence Municipality",Florence.,Florence,birthcity of novel's author,novel-author-birthcity
972,In the Time of the Butterflies,Julia Alvarez,New York City,The author of the novel In the Time of the Butterflies is,Julia Alvarez,Julia Alvarez.,Julia Alvarez,Julia Alvarez was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
1065,On Earth We're Briefly Gorgeous,Ocean Vuong,Ho Chi Minh City,The author of the novel On Earth We're Briefly Gorgeous is,Ocean Vuong|Vương Quốc Vinh,Ocean Vuong,Ocean Vuong,Ocean Vuong was born in the city of,Ho Chi Minh City|Ho Chi Minh|Sài Gòn|Saïgon|HCMC|Sai Gon|Saigon|Thành-Phô Hồ Chí Minh|Hôchiminh Ville|Thành Phố Hồ Chí Minh|Prey Nokor|Gia Định,Saigon (now Ho Chi Minh City).,Ho Chi Minh City,birthcity of novel's author,novel-author-birthcity
1195,Zami: A New Spelling of My Name,Audre Lorde,New York City,The author of the novel Zami: A New Spelling of My Name is,Audre Lorde|Audre Geraldine Lorde,Audre Lorde,Audre Lorde,Audre Lorde was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
1327,Kabuliwala,Rabindranath Tagore,Kolkata,The author of the novel Kabuliwala is,"Rabindranath Tagore|Rabīndranātha Thākur|Kabiguru|Tagore|Bishwakabi|R. Tagore|Rabindranat Tagor|Bhanu Singha Thakur|Gurudev|Biswakabi|Nyi Wang Gönpo|Tagore, rabindranath",Rabindranath Tagore,Rabindranath Tagore,Rabindranath Tagore was born in the city of,Kolkata|Calcutta|City of Palaces|City of Processions|City of Joy,Calcutta (now Kolkata).,Kolkata,birthcity of novel's author,novel-author-birthcity
1617,The Autobiography of an Ex-Colored Man,James Weldon Johnson,Jacksonville,The author of the novel The Autobiography of an Ex-Colored Man is,James Weldon Johnson|J. W. Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson was born in the city of,"Jacksonville|Jacksonville, Florida|Jacksonville, FL",Jacksonville.,Jacksonville,birthcity of novel's author,novel-author-birthcity
1858,Such a Fun Age,Kiley Reid,Los Angeles,The author of the novel Such a Fun Age is,Kiley Reid,Kiley Reid,Kiley Reid,Kiley Reid was born in the city of,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles.,Los Angeles,birthcity of novel's author,novel-author-birthcity
2324,The Years of Lyndon Johnson,Robert Caro,New York City,The author of the novel The Years of Lyndon Johnson is,Robert Caro|Robert Allan Caro|Robert A. Caro,Robert Caro,Robert Caro,Robert Caro was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
2360,The Robber Bridegroom,Eudora Welty,Jackson,The author of the novel The Robber Bridegroom is,Eudora Welty|Eudora Alice Welty,Eudora Welty,Eudora Welty,Eudora Welty was born in the city of,"Jackson|Jackson, Mississippi|City of Jackson|Jackson, MS","Jackson, Mississippi",Jackson,birthcity of novel's author,novel-author-birthcity
27163,Crime and Punishment,Fyodor Dostoyevsky,Russia,The author of the novel Crime and Punishment is,Fyodor Dostoyevsky|Dostoievski|Fyodor Dostoievski|Fyodor Mikhaylovich Dostoievski|Fyodor Mikhaylovich Dostoyevsky|Fyodor Mikhailovich Dostoevsky|F.M. Dostoiewski|Fyodor Dostoevsky,Fyodor Dostoevsky,Fyodor Dostoevsky,Fyodor Dostoyevsky was born in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,birthcntry of novel's author,novel-author-birthcntry
27165,The Alchemist,Paulo Coelho,Brazil,The author of the novel The Alchemist is,Paulo Coelho|Paulo Coelho de Souza,Paulo Coelho,Paulo Coelho,Paulo Coelho was born in the country of,Brazil|Federative Republic of Brazil|BR|BRA|🇧🇷|Brasil,Brazil,Brazil,birthcntry of novel's author,novel-author-birthcntry
27164,The Brothers Karamazov,Fyodor Dostoyevsky,Russia,The author of the novel The Brothers Karamazov is,Fyodor Dostoyevsky|Dostoievski|Fyodor Dostoievski|Fyodor Mikhaylovich Dostoievski|Fyodor Mikhaylovich Dostoyevsky|Fyodor Mikhailovich Dostoevsky|F.M. Dostoiewski|Fyodor Dostoevsky,Fyodor Dostoevsky,Fyodor Dostoevsky,Fyodor Dostoyevsky was born in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,birthcntry of novel's author,novel-author-birthcntry
27169,Faust,Johann Wolfgang von Goethe,Germany,The author of the novel Faust is,Johann Wolfgang von Goethe|Goethe|joh. wolfg. von goethe|j. w. von goethe,Goethe,Goethe,Johann Wolfgang von Goethe was born in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,birthcntry of novel's author,novel-author-birthcntry
27170,The Little Mermaid,Hans Christian Andersen,Denmark,The author of the novel The Little Mermaid is,Hans Christian Andersen|H.C. Andersen|Hans Andersen|H.Ch. Andersen,Hans Christian Andersen,Hans Christian Andersen,Hans Christian Andersen was born in the country of,Denmark|DK|Danmark|DNK|DEK|🇩🇰|DEN|TAN|Denmark proper|metropolitan Denmark,Denmark,Denmark,birthcntry of novel's author,novel-author-birthcntry
27171,The Catcher in the Rye,J. D. Salinger,United States of America,The author of the novel The Catcher in the Rye is,J. D. Salinger|Jerome David Salinger|Jerome Salinger,J.D. Salinger,J. D. Salinger,J. D. Salinger was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27172,Gulliver's Travels,Jonathan Swift,Republic of Ireland,The author of the novel Gulliver's Travels is,Jonathan Swift|Isaac Bickerstaff|M. B. Drapier|Lemuel Gulliver|Simon Wagstaff,Jonathan Swift,Jonathan Swift,Jonathan Swift was born in the country of,"Republic of Ireland|Éire|IE|IRL|Hibernia|Ireland, Republic of|🇮🇪|Eire|Southern Ireland|Ireland (state)|Ireland",Ireland,Ireland,birthcntry of novel's author,novel-author-birthcntry
27173,The Great Gatsby,F. Scott Fitzgerald,United States of America,The author of the novel The Great Gatsby is,F. Scott Fitzgerald|Francis Scott Fitzgerald|Francis Scott Key Fitzgerald,F. Scott Fitzgerald.,F. Scott Fitzgerald,F. Scott Fitzgerald was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27175,The Master and Margarita,Mikhail Bulgakov,Ukraine,The author of the novel The Master and Margarita is,Mikhail Bulgakov|Mikhael Bulgakov|Mikhail Afanasyevich Bulgakov|Mihail A. Bulgakov,Mikhail Bulgakov,Mikhail Bulgakov,Mikhail Bulgakov was born in the country of,Ukraine|UA|UKR|Ukrainia|🇺🇦|Ukr.|Ukraina|the Ukraine|Ukraïna|Urkrain,Ukraine,Ukraine,birthcntry of novel's author,novel-author-birthcntry
27176,Journey to the West,Wu Cheng'en,People's Republic of China,The author of the novel Journey to the West is,Wu Cheng'en|Sheyang Shanren|Ruzhong|Wu Chengen,Wu Cheng'en,Wu Cheng'en,Wu Cheng'en was born in the country of,People's Republic of China|China|CN|PR China|PRC|CHN|🇨🇳|China PR|Mainland China|RPC,China,China,birthcntry of novel's author,novel-author-birthcntry
27177,Twenty Thousand Leagues Under the Sea,Jules Verne,France,The author of the novel Twenty Thousand Leagues Under the Sea is,Jules Verne|Jules Gabriel Verne|Julius Verne,Jules Verne,Jules Verne,Jules Verne was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of novel's author,novel-author-birthcntry
27178,Around the World in Eighty Days,Jules Verne,France,The author of the novel Around the World in Eighty Days is,Jules Verne|Jules Gabriel Verne|Julius Verne,Jules Verne,Jules Verne,Jules Verne was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of novel's author,novel-author-birthcntry
27179,The Hunchback of Notre Dame,Victor Hugo,France,The author of the novel The Hunchback of Notre Dame is,"Victor Hugo|Victor Marie Hugo|Victor-Marie Hugo|Victor Marie, Comte Hugo",Victor Hugo,Victor Hugo,Victor Hugo was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of novel's author,novel-author-birthcntry
27182,Fahrenheit 451,Ray Bradbury,United States of America,The author of the novel Fahrenheit 451 is,Ray Bradbury|Ray Douglas Bradbury|Raymond Douglas Bradbury,Ray Bradbury,Ray Bradbury,Ray Bradbury was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
