row_id,label,baseline_answer,intermediate_answer,target_token_text,target_token_id,layer_ranks_json,target_logit_per_layer_json
220,F3_other,Calcutta in 1904. She was the daughter of a British civil servant and a Bengali mother. Her father was a member of the Indian Civil Service and was posted to the city of Calcutta. He was a member of the Indian Civil Service and was posted to the city of Calcutta.,E. M. Forster,E,36,"[2545, 75913, 35562, 8253, 10097, 9741, 48459, 40385, 78676, 42372, 72073, 73500, 59561, 39104, 4180, 5007]","[0.039306640625, -0.01153564453125, 0.02880859375, 0.095703125, 0.07666015625, 0.09912109375, 0.0311279296875, 0.046630859375, -0.038818359375, 0.0201416015625, -0.048095703125, -0.051513671875, -0.00360107421875, 0.1015625, 0.1064453125, 1.9296875]"
27818,F3_other,the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She,John Updike,John,13379,"[86379, 90493, 41430, 53518, 84829, 59757, 57588, 103300, 115574, 120513, 116526, 121789, 122144, 117880, 37586, 34005]","[-0.04150390625, -0.0146484375, 0.037841796875, 0.0213623046875, -0.060791015625, -0.0260009765625, 0.00823974609375, -0.10107421875, -0.208984375, -0.310546875, -0.3125, -0.400390625, -0.515625, -0.546875, -0.68359375, 0.6171875]"
3hop2__764770_86841_54023,F2_partial,"The answer is 1971, when the first McDonald’s restaurant opened in the United Kingdom. The restaurant was located in the town of Sandown, Isle of Wight, and was the first of its kind in the country. The restaurant was a huge success, and it quickly became a popular destination for tourists and locals",McDonald's,Mc,26353,"[52506, 79248, 102311, 125738, 87865, 117128, 116590, 121560, 95086, 119934, 116669, 115567, 93528, 66607, 14537, 2783]","[-0.0205078125, -0.032470703125, -0.056640625, -0.13671875, -0.0296630859375, -0.09814453125, -0.134765625, -0.166015625, -0.0390625, -0.20703125, -0.27734375, -0.322265625, -0.21875, -0.1494140625, -0.37109375, 2.625]"
91252,F3_other,Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city,Milwaukee,Mil,60332,"[108848, 121122, 83263, 117160, 88138, 90803, 85415, 106127, 75602, 96459, 32398, 26711, 45767, 23114, 22984, 8702]","[-0.0595703125, -0.059814453125, -0.0244140625, -0.10595703125, -0.080078125, -0.0986328125, -0.08642578125, -0.12451171875, -0.099609375, -0.20703125, -0.00885009765625, 0.10205078125, 0.018310546875, 0.2001953125, -0.4453125, 1.71875]"
277434,F3_other,Missouri. The city is located in the state of Missouri. The city is located in the county of St. Louis. The city is located in the state of Missouri. The city is located in the county of St. Louis. The city is located in the state of Missouri. The city is located in the county of,Springfield,Spring,26208,"[104125, 57039, 47795, 89708, 72449, 90734, 38164, 87825, 105198, 121081, 105754, 81903, 103921, 27531, 6517, 14161]","[-0.058349609375, 0.01611328125, 0.01251220703125, -0.041259765625, -0.05810546875, -0.109375, -0.00799560546875, -0.08251953125, -0.1708984375, -0.3671875, -0.2236328125, -0.1044921875, -0.3046875, 0.130859375, -0.1259765625, 1.640625]"
91970,F3_other,Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was,Salt Lake City,Salt,48418,"[60274, 16836, 5017, 4562, 7052, 6868, 49479, 24861, 21100, 30808, 18670, 12308, 12459, 3355, 11113, 21447]","[-0.025634765625, 0.061767578125, 0.1240234375, 0.1513671875, 0.0986328125, 0.09716796875, -0.021240234375, 0.050537109375, 0.039306640625, -0.01904296875, 0.0849609375, 0.189453125, 0.236328125, 0.5390625, -0.232421875, 1.4453125]"
2hop__709652_8477,F3_other,"What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement?
What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement? What piece by the composer of Symphony, K. 95 is used as a cliche to convey",Mozart,M,44,"[15936, 85638, 116998, 75781, 58448, 75742, 116047, 111736, 121097, 122413, 89059, 73367, 48635, 31891, 1409, 347]","[-0.00052642822265625, -0.031982421875, -0.0751953125, -0.0179443359375, 0.0040283203125, 0.00164794921875, -0.1298828125, -0.09814453125, -0.1416015625, -0.2109375, -0.09814453125, -0.10791015625, -0.02587890625, -0.001373291015625, 0.33203125, 3.28125]"
3hop1__46253_22372_27337,F3_other,The answer is the United States of America. The United States of America is the only country that has ever sent a military force to the country where the organization that gave Britain the right to rule Palestine is located. The United States of America is the only country that has ever sent a military force to the country where the organization,the League of Nations,the,1820,"[2235, 11922, 58263, 60521, 74550, 101044, 84674, 104049, 117436, 89956, 87776, 62815, 62929, 34180, 554, 668]","[0.0234375, 0.0291748046875, -0.00201416015625, -0.0123291015625, -0.0040283203125, -0.0498046875, -0.040771484375, -0.0712890625, -0.14453125, -0.032470703125, -0.0751953125, -0.0003833770751953125, -0.01275634765625, 0.072265625, 0.73046875, 3.09375]"
4hop2__66475_53235_57802_311656,F3_other,"(2008)
The first leader of Europe's largest country, following the collapse of the union of republics that was formed as a result of the Russian revolution, died in what city? (2008)
The first leader of Europe's largest country, following the collapse of the union of republics that was formed as",the Soviet Union,the,1820,"[3518, 17468, 28514, 78567, 115653, 98121, 101867, 86551, 119685, 104876, 97436, 65245, 61486, 19771, 253, 188]","[0.019775390625, 0.021240234375, 0.026611328125, -0.011962890625, -0.09814453125, -0.076171875, -0.0791015625, -0.043701171875, -0.11962890625, -0.1015625, -0.09130859375, -0.0400390625, -0.053955078125, 0.150390625, 0.80859375, 2.734375]"
131467,F3_other,"the largest city in Finland. The city is located on the banks of the river Aura, which is the main river in the country. The city is located in the middle of the country, which is why it is a popular tourist destination. The city is also known for its beautiful nature, which is why it is a",Finland,Fin,9312,"[53915, 96808, 78915, 28626, 13639, 41654, 102425, 113326, 94072, 31286, 34123, 16629, 11248, 1499, 4642, 5825]","[-0.0252685546875, -0.0390625, -0.034423828125, 0.017822265625, 0.05078125, -0.033203125, -0.1376953125, -0.1484375, -0.154296875, -0.01446533203125, 0.01434326171875, 0.150390625, 0.228515625, 0.6953125, 0.1435546875, 2.0625]"
