row_id,question,answer,label,reason
91577,The city where Al-Saadi Gaddafi was born is in the country of,"Libya, which is located in the North Africa. The city is called Sirte. The city is located in the country of Libya, which is located in the North Africa. The city is called Sirte. The city is located in the country of Libya, which is located in the North Africa. The city is called",success,Local classification
277148,The city where the headquarters of Southeast University is located is in the country of,China. The city is located in the province of Jiangsu. The city is located in the country of China. The city is located in the country of China. The city is located in the country of China. The city is located in the country of China. The city is located in the country of China. The,success,The answer 'China' correctly matches the ground truth 'People's Republic of China'.
92173,The city where Ivana Maksimović was born is in the country of,Serbia. She is a Serbian singer and songwriter. She is best known for her song “I’m Not Your Girl” which was released in 2015. The song was written by Ivana Maksimović and produced by Marko Jovanović. The song was a hit in Serbia and other countries,success,Local classification
92928,The city where Shareef O'Neal was born is in the country of,the United States of America. The city where Shareef O'Neal was born is in the state of California. The city where Shareef O'Neal was born is in the state of California. The city where Shareef O'Neal was born is in the state of California. The city where Shareef O',success,Local classification
297610,The movie featuring Benjamin Gates as the main character was released in the country of,"United States of America on 25th March 2006 and the movie was directed by Ron Howard. The movie was produced by Brian Grazer, Ron Howard, and Brian Grazer. The movie was written by Akiva Goldsman. The movie was produced by Brian Grazer, Ron Howard, and Brian Gra",success,Local classification
91548,The city where Maria de Medeiros was born is in the country of,"Portugal. She is a citizen of Portugal. Maria de Medeiros was born on 28 February 1980, and is 42 years old. Maria de Medeiros is a member of the Portuguese people. Maria de Medeiros is a member of the Portuguese people. Maria de Medeiros is a",success,Local classification
4hop2__207997_81195_91861_124556,It is possible to reach the continent that includes Kyambedu by sailing across the ocean closest to the Andes. Who was the father of the first man to do so?,"The answer is the explorer Christopher Columbus. He was the first to sail across the Atlantic Ocean and reach the Americas. He was born in Genoa, Italy, in 1451. He was a man of many talents. He was a navigator, a cartographer, and a soldier. He was also a religious man",F3_other,"The answer gives Christopher Columbus, which does not match the required ground truth Estêvão da Gama and lacks the required intermediate fact about Asia."
277434,The city where the headquarters of Evangel University is located is in the country of,Missouri. The city is located in the state of Missouri. The city is located in the county of St. Louis. The city is located in the state of Missouri. The city is located in the county of St. Louis. The city is located in the state of Missouri. The city is located in the county of,F3_other,"The answer gives only the state (Missouri) and repeats location info, failing to provide the required country (United States of America) and missing the intermediate hop facts."
2hop__734425_84079,Who was the king after Michal's spouse in the bible?,"- Answered by a verified Christian Lawyer
Who was the king after Michal's spouse in the bible?
Michal's spouse was David's second wife. She was the daughter of the king of Zuph, and she was the mother of Solomon. David's first wife was Bathsheba, and she was",success,Local classification
2hop__75203_20093,In what year did the writer of Don't Stop Me Now by Queen die?,The writer of Don't Stop Me Now by Queen died in 1991. The writer of Don't Stop Me Now by Queen died in 1991. The writer of Don't Stop Me Now by Queen died in 1991. The writer of Don't Stop Me Now by Queen died in 1991.,success,Local classification
443985,David Nabarro's undergrad university has its headquarters in the country of,"the same name. The country is a member of the Commonwealth of Nations, a group of 53 independent countries that share a common heritage and work together to achieve common goals. The country is also a member of the United Nations, the World Trade Organization, the World Bank, the International Monetary Fund, the African Union,",F3_other,"Answer is irrelevant, lacks required hop facts and does not provide the correct final answer (United Kingdom)."
466228,The university founded by Massachusetts General Court has its headquarters in the country of,"Massachusetts, United States. The university is a public research university and is the oldest university in the United States. The university is a member of the Association of American Universities. The university is a member of the Association of American Universities. The university is a member of the Association of American Universities. The university is a member of",success,"The answer includes 'United States', which matches the required country of United States of America"
28479,The author of the novel Kabuliwala was born in the country of,"his novel. He was born in the village of Kabuliwala, in the district of Peshawar, in the province of Khyber Pakhtunkhwa, in the north-west of Pakistan. He was born in 1907. He was a writer, a poet, a journalist, a",F3_other,"The answer incorrectly states the author was born in Pakistan and does not provide the correct country (India), nor does it include the required intermediate hop facts."
91485,The city where Solange Knowles was born is in the country of,the same name. The city is located in the state of Louisiana. The city is located in the state of Louisiana. The city is located in the state of Louisiana. The city is located in the state of Louisiana. The city is located in the state of Louisiana. The city is located in the state of Louisiana.,F3_other,"Answer is incorrect, provides no intermediate hop facts and gives a wrong location (Louisiana) instead of the United States"
277267,The city where the headquarters of Kanto Gakuin University is located is in the country of,Japan. The city is located in the prefecture of Tokyo. The city is located in the country of Japan. The city is located in the prefecture of Tokyo. The city is located in the country of Japan. The city is located in the prefecture of Tokyo. The city is located in the country of Japan,success,Local classification
93618,The city where Yogesh Dattatraya Gosavi was born is in the country of,Maharashtra. He was born in the year 1980. He is a well-known Indian actor who is well-known for his work in the Hindi film industry. He is a well-known actor in the Hindi film industry. He is a well-known actor in the Hindi film industry. He is a well-known actor in the,success,Local classification
403457,"The mother of the spouse of Prince Harry, Duke of Sussex is named","as the new patron of the Royal Foundation of the Duke and Duchess of Sussex.
The Duke and Duchess of Sussex have announced that the mother of the Duke of Sussex, Samantha Markle, has been named as the new patron of the Royal Foundation of the Duke and Duchess of Sussex.
The Duke and Duchess of Sussex have announced",F3_other,"The answer is incorrect and irrelevant, providing wrong information about Samantha Markle and not naming Doria Ragland."
3hop1__104719_66733_33264,What happened when the person who ruled Oleg Bogayev's country during the first world war was removed from power?,"The country was plunged into chaos and civil war. The Russian Empire was in ruins. The Russian Revolution was just beginning.
The Russian Revolution was a series of revolutions that took place in Russia from 1917 to 1923. The first revolution was the October Revolution of 1917, which overthrew the Russian",F3_other,The answer does not state that the Russian Provisional Government was established; it provides unrelated or incomplete information.
298236,The novel with 'Catherine Earnshaw' as the main character was written by an author named,Elizabeth Gaskell. The novel was published in 1847. The novel is about a young girl named Catherine Earnshaw who is the daughter of a wealthy family. She falls in love with a young man named Heathcliff. The novel is about the love between Catherine and Heathcliff and how it changes their lives,F3_other,"The answer gives the wrong author (Elizabeth Gaskell) and does not include the required intermediate fact (Wuthering Heights), thus it is incorrect and irrelevant."
88780,"As an undergrad, the author of the novel It attended the university named",after the author of the novel It. The author of the novel It is a graduate of the university named after the author of the novel It. The author of the novel It is a graduate of the university named after the author of the novel It. The author of the novel It is a graduate of the university named after,F3_other,The answer is nonsensical and does not provide the required university (University of Maine)
2hop__694049_121919,What was the college of the writer of The Importance of Being Earnest?,"The college of the writer of The Importance of Being Earnest?
What was the college of the writer of The Importance of Being Earnest? The college of the writer of The Importance of Being Earnest?
What was the college of the writer of The Importance of Being Earnest? The college of the writer of The Importance",F3_other,"The response repeats the question and provides no answer, missing both the intermediate fact and the required final answer."
276945,The city where the headquarters of University of Chile is located is in the country of,Chile. The city is located in the region of Santiago. The city is located in the state of Santiago. The city is located in the country of Chile. The city is located in the state of Santiago. The city is located in the country of Chile. The city is located in the state of Santiago. The city,success,Local classification
91970,The city where Steve Young was born is in the country of,Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was born is in the country of Utah. The city where Steve Young was,F3_other,"The model incorrectly answers 'Utah' as the country, which is wrong; the correct country is United States of America."
93603,The city where Vasilis Lazaridis was born is in the country of,Greece. He is a Greek citizen. He is a member of the Greek diaspora. He is a member of the Greek Orthodox Church. He is a member of the Greek Orthodox Church. He is a member of the Greek Orthodox Church. He is a member of the Greek Orthodox Church. He is a member of the,success,Local classification
93131,The city where Gregório Duvivier was born is in the country of,"Brazil. The city is located in the state of São Paulo. The population of the city is 1,000,000, and it is the capital of the state of São Paulo. The city is located at 23.5° S, 46.5° W and it is located at 23°",success,Local classification
92033,The city where Gary Payton II was born is in the country of,"Ghana, Africa. The city where Gary Payton II was born is in the country of Ghana, Africa. The city where Gary Payton II was born is in the country of Ghana, Africa. The city where Gary Payton II was born is in the country of Ghana, Africa. The city where Gary Payton",F3_other,"The answer incorrectly states Ghana, Africa instead of the United States of America"
131467,The capital of the country led by president Sauli Niinistö is,"the largest city in Finland. The city is located on the banks of the river Aura, which is the main river in the country. The city is located in the middle of the country, which is why it is a popular tourist destination. The city is also known for its beautiful nature, which is why it is a",F3_other,"Answer fails to give the capital Helsinki and provides an incomplete, incorrect description"
91149,The city where Prince was born is in the country of,"Minnesota, USA. The city where Prince was born is in the state of Minnesota, USA. The city where Prince was born is in the state of Minnesota, USA. The city where Prince was born is in the state of Minnesota, USA. The city where Prince was born is in the state of Minnesota, USA.",success,"The answer states the city is in USA, which matches the required country United States of America."
27332,The author of the novel Dolores Claiborne was born in the country of,"the same name in 1945. She was raised in a small town in the South and attended college in the North. She has written several novels, including the best-selling novel, The House of Sand and Fog, which was made into a movie starring Helen Mirren and Ben Kingsley. She has also written a",F3_other,The answer is irrelevant and does not provide the correct country (United States of America)
2hop__149881_136477,What place is the setting of the novel where Lucy Westenra appeared?,"What place is the setting of the novel where Lucy Westenra appeared?
What place is the setting of the novel where Lucy Westenra appeared? What place is the setting of the novel where Lucy Westenra appeared?
What place is the setting of the novel where Lucy Westenra appeared? What place is the",F3_other,"Model repeats the question and provides no answer, failing to give the required answer 'Transylvania'"
4hop3__207199_38788_25582_21116,How many people whose name new students were once called by others live in the South American country discovered by the country where Evora is located?,"The answer is 1. The country is Brazil. The name of the city is Evora. The population of the city is 1,000. The country is South America. The capital of the country is Brasilia. The country is located in the continent of South America. The country is located in the continent",F3_other,Answer is incorrect and does not contain required intermediate fact (Portugal); does not match ground truth range
2hop__37477_5235,Whose life do people from the group accused of starting the Great Fire of 64 AD learn from?,The answer is the life of the Roman Emperor Nero. The story of the Great Fire of Rome is a story of Nero’s life. The story of the Great Fire of Rome is a story of Nero’s life. The story of the Great Fire of Rome is a story of Nero’s life. The story of the Great,F3_other,"The answer incorrectly states Nero's life, neither includes the required intermediate fact (Christians) nor the correct final answer (Jesus Christ)."
134754,The developer of the game 'Death Stranding Director's Cut' was founded by the person named,Hideo Kojima. The game was released in 2019. The game is a first-person shooter game. The game is a part of the series 'Death Stranding'. The game is developed by Kojima Productions. The game is published by Kojima Productions. The game is available on the platforms,success,Local classification
277360,The city where the headquarters of Hebei Normal University is located is in the country of,"Hebei, which is located in the north of China. The city is located in the north of the country, and the Hebei province is located in the north of the country. The Hebei province is located in the north of the country, and the Hebei province is located in the north of the country.",F3_other,Answer is irrelevant and does not provide the required country (People's Republic of China) nor the intermediate fact (Shijiazhuang)
91071,The city where Beyoncé was born is in the country of,the same name. The city is located in the south of the country and is the capital of the state of Lagos. The city is located on the coast of the Atlantic Ocean and is the largest city in the country. The city is also the largest city in the country and is the largest city in the country. The,F3_other,Answer is nonsensical and does not provide the correct country (United States of America)
309786,The president of Liberia was born in the country of,"Liberia, West Africa. He was born in 1945. He was born in the city of Monrovia. He was born in the year 1945. He was born in the year 1945. He was born in the year 1945. He was born in the year 1945.",success,Local classification
92947,"The city where Krisztián Lisztes (footballer, born 2005) was born is in the country of",Hungary. The city is located in the region of Pest. The city is located in the region of Pest. The city is located in the region of Pest. The city is located in the region of Pest. The city is located in the region of Pest. The city is located in the region of Pest. The city,success,Local classification
4hop1__35260_8995_56750_44492,Where in the largest river in the state where Tito saw the organization which mediated the truce ending the Iran-Iraq War?,"(Hint: It's not in the capital city.)
Where in the largest river in the state where Tito saw the organization which mediated the truce ending the Iran-Iraq War? (Hint: It's not in the capital city.)
Where in the largest river in the state where Tito saw the organization which mediated",F3_other,"Answer is nonsensical, repeats the question, provides no intermediate fact or final answer"
276975,The city where the headquarters of Middle East Technical University is located is in the country of,Turkey. The city is located in the province of Ankara. The city is located in the country of Turkey. The city is located in the province of Ankara. The city is located in the country of Turkey. The city is located in the province of Ankara. The city is located in the country of Turkey. The city,success,Local classification
466270,The university founded by George IV of the United Kingdom has its headquarters in the country of,"the same name. The university is located in the city of London, England. The university was founded in 1826 and is the oldest university in the country. The university is a member of the Russell Group of universities. The university is also a member of the Association of Commonwealth Universities. The university is also a member",F3_other,Answer does not state the required final answer 'United Kingdom' and lacks the required intermediate hop facts
2hop__673662_47824,Where is the blue mosque located in the country where Boğaziçi can be found?,"The Blue Mosque is located in the city of Istanbul, Turkey. The Blue Mosque is a mosque that was built in the 16th century. The mosque is known for its blue tiles and its beautiful architecture. The Blue Mosque is a popular tourist attraction in Istanbul.
The Blue Mosque is located in the city of Istanbul,",success,Local classification
267941,The developer of the game 'FIFA World' is listed on a stock exchange named,'FIFA World' and is traded under the ticker symbol 'FIFA'. The company is headquartered in the city of 'FIFA World' and has a market capitalization of $ 1.2 billion. The company's current stock price is $ 0.0001. The company's current stock price is,F3_other,"Answer is irrelevant, contains no correct intermediate facts, and does not provide the correct final answer (Nasdaq)"
4hop3__101745_38788_25582_21116,How many people whose name new students were once called by others live in the South American country discovered by the home of Ilidio Vale?,"The answer is 1, and it is the capital of the country, Brasilia. The city was founded in 1960 and is the capital of the country. The city is located in the center of the country, and it is the largest city in the country. The city is located in the center of the",F3_other,The answer is incorrect (gives '1' and unrelated info) and does not include the required intermediate fact 'Portugal'
91245,The city where Kylie Jenner was born is in the country of,Mexico. The city where Kylie Jenner was born is in the country of Mexico. The city where Kylie Jenner was born is in the country of Mexico. The city where Kylie Jenner was born is in the country of Mexico. The city where Kylie Jenner was born is in the country of Mexico. The city where Kylie Jenner was,F3_other,The answer incorrectly states Mexico instead of United States of America and does not include any of the required intermediate hop facts.
222375,The developer of the game 'One Piece Treasure Cruise' has its headquarters in the country of,Japan. The game is a free-to-play game that is available on the iOS and Android platforms. The game is a mobile game that is based on the popular anime and manga series 'One Piece'. The game is a free-to-play game that is available on the iOS and Android platforms. The game is a mobile game,success,Local classification
91252,The city where Jeffrey Dahmer was born is in the country of,Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city where Jeffrey Dahmer was born is in the country of Wisconsin. The city,F3_other,"Model answer gives 'Wisconsin' as the country, which is incorrect; the correct country is United States of America, and no required intermediate hop facts are present."
91979,The city where Dávid Verrasztó was born is in the country of,Hungary. He is a member of the Hungarian National Team. He is 25 years old and was born on 1993-07-15. He is a right-handed player. He is 1.80 m tall. His weight is 80 kg. He is a right-handed player. He is a right,success,Local classification
2hop__97582_53910,Who was President of the United States immediately following the war Sergeant Stubby participated in?,"(1)
Who was President of the United States immediately following the war Sergeant Stubby participated in? (1)
Who was President of the United States immediately following the war Sergeant Stubby participated in? (1)
Who was President of the United States immediately following the war Sergeant Stubby participated in? (1)
Who",F3_other,"Answer is incomplete, repeats the question, and does not provide the required president name."
277228,The city where the headquarters of University of Haiti is located is in the country of,Haiti. The city is located in the country of Haiti. The city is located in the country of Haiti. The city is located in the country of Haiti. The city is located in the country of Haiti. The city is located in the country of Haiti. The city is located in the country of Haiti. The city,success,Local classification
3hop1__37727_37586_224276,Who owns the Interstate 95 in the state that was founded by the first Baptist group in US?,The answer is the state of Florida. The state of Florida owns the Interstate 95 in the state that was founded by the first Baptist group in US. The state of Florida owns the Interstate 95 in the state that was founded by the first Baptist group in US. The state of Florida owns the Interstate 95 in,F3_other,The answer incorrectly states Florida owns I-95 and does not provide the correct owner (Rhode Island Department of Transportation) nor include the required intermediate fact.
302399,The organization led by CEO Jenő Vázsonyi has its headquarters in the city of,"Budapest, Hungary. The company is a member of the European Association of the International Association of Business Communicators (IABC) and the European Association of Public Relations (EAPR). The company is a member of the European Public Relations Association (EPRC) and the European Public Relations Group (EPRG).",success,Local classification
2hop__33326_65517,"In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States?","A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name",F3_other,"Model only lists multiple-choice options without selecting the correct answer (Hurricane Maria), thus does not match the ground truth."
222373,The developer of the game 'Pac-Man Games' has its headquarters in the country of,"Japan. The company is called Namco Bandai Games. The company was founded in 1975. The company is located in the city of Osaka. The company has 1,000 employees. The company's headquarters is located in the city of Osaka. The company's headquarters is located in the city of Osaka.",success,Local classification
309009,The organization led by CEO Andy Jassy is listed on a stock exchange named,"Amazon.com, Inc. (NASDAQ: AMZN). The company was founded in 1994 and is headquartered in Seattle, Washington. The company has a market capitalization of $1.1 trillion and is the largest e-commerce company in the world. Amazon is a multinational technology company that operates an online retail store,",success,Local classification
276680,The city where the headquarters of Maltepe University is located is in the country of,Turkey. The city is located in the province of Istanbul. The city is located in the country of Turkey. The city is located in the country of Turkey. The city is located in the country of Turkey. The city is located in the country of Turkey. The city is located in the country of Turkey. The city,success,Local classification
277260,The city where the headquarters of Webster University is located is in the country of,France. The city is located in the state of France. The city is located in the country of France. The city is located in the state of France. The city is located in the country of France. The city is located in the state of France. The city is located in the country of France. The city,F3_other,The answer incorrectly states France instead of the United States and does not include any required intermediate hop facts.
276893,The city where the headquarters of Open International University of Human Development “Ukraine” is located is in the country of,Ukraine. The city is located in the region of Ukraine. The city is located in the country of Ukraine. The city is located in the region of Ukraine. The city is located in the country of Ukraine. The city is located in the region of Ukraine. The city is located in the country of Ukraine. The city,success,Local classification
3hop2__764770_86841_54023,"When did the first restaurant that the phenomenon of McDonaldization is named after, open in the country that holds the Isle of Wight festival?","The answer is 1971, when the first McDonald’s restaurant opened in the United Kingdom. The restaurant was located in the town of Sandown, Isle of Wight, and was the first of its kind in the country. The restaurant was a huge success, and it quickly became a popular destination for tourists and locals",F2_partial,Includes the required intermediate fact (McDonald's) but gives an incorrect final date (1971 instead of the ground truth 1974)
277106,The city where the headquarters of Technical University of Tajikistan is located is in the country of,Tajikistan. The city is located in the region of Khatlon. The city is located in the country of Tajikistan. The city is located in the region of Khatlon. The city is located in the country of Tajikistan. The city is located in the region of Khatlon.,success,Local classification
318,The author of the novel The Mist was born in the city of,"Krasnodar, Russia. He graduated from the Krasnodar State University of Economics and Law. He is a member of the Russian Writers’ Union. He has published several books of poetry and prose. He has also published several books of poetry and prose. He has also published several books of poetry and prose",F3_other,"The answer gives an incorrect city (Krasnodar) and does not match the ground truth 'Portland', nor include required intermediate facts."
4hop3__9664_38788_25582_21116,How many of the people that new student were once called live in the South American country discovered by the country that left Guinae-Bissau in 1974?,The answer is 0. The country that left Guinae-Bissau in 1974 is the country that left Guinae-Bissau in 1974. The country that left Guinae-Bissau in 1974 is the country that left Guinae-Bissau in 1974. The country,F3_other,"The answer '0' is incorrect and does not match the required ground truth range '196,000-600,000'; also lacks the intermediate fact (Portugal)."
3hop1__103167_35178_686699,Qaleh Now-e Khaleseh in the capital of the country Sultan Husayn is from is located in what district?,"(2017)
Qaleh Now-e Khaleseh in the capital of the country Sultan Husayn is from is located in what district?
Qaleh Now-e Khaleseh in the capital of the country Sultan Husayn is from is located in what district?
Qaleh Now-e Kh",F3_other,"The answer is nonsensical, repeats the question, provides no district information, and does not contain the required intermediate fact or final answer."
3hop1__756136_5960_90069,What is the unit of currency in the part of the United Kingdom where Bloody Friday is located?,"(a) British pound (b) British pound sterling (c) British pound sterling (d) British pound sterling
What is the unit of currency in the part of the United Kingdom where Bloody Friday is located? (a) British pound (b) British pound sterling (c) British pound sterling (d) British",success,Local classification
276629,The city where the headquarters of Pierre and Marie Curie University is located is in the country of,France. The city is located in the region of Île-de-France. The city is located in the country of France. The city is located in the region of Île-de-France. The city is located in the country of France. The city is located in the region of Île-de-France.,success,Local classification
277002,The city where the headquarters of Rwanda Christian University is located is in the country of,Rwanda. The university is located in the city of Kigali. The university is a private university. The university is a Christian university. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The,success,Local classification
276884,The city where the headquarters of Thailand Cyber University is located is in the country of,Thailand. The university is located in the city of Bangkok. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The university is a private university. The university is,success,Local classification
3hop1__90728_91799_73100,There is an organization that sets the monetary policy of the country which received its current name after the American revolutionary war. When did that organization start quantitative easing?,What is the current monetary policy of the country? What is the current monetary policy of the country? What is the current monetary policy of the country? What is the current monetary policy of the country? What is the current monetary policy of the country? What is the current monetary policy of the country? What is the current,F3_other,Answer is irrelevant nonsense and does not provide the required intermediate fact or the correct final answer
27497,The author of the novel Infinite Jest was born in the country of,"the same name, and his work is a study of the American dream. The novel is a satire on the American dream, and the characters are all based on real people. The author of the novel Infinite Jest was born in the country of the same name, and his work is a study of the American dream. The",F3_other,The answer does not provide the required country (United States of America) and is irrelevant/nonsensical
3hop1__160535_29217_62962,When did marriage become a sacrament in the most predominant religion in the country that owns Saint-Domingue?,When did the Catholic Church become the most powerful institution in the country? When did the Catholic Church become the most powerful institution in the country? When did the Catholic Church become the most powerful institution in the country? When did the Catholic Church become the most powerful institution in the country? When did the Catholic Church become the most,F3_other,The answer is irrelevant and does not contain the required facts or the correct year 1184
131468,The capital of the country led by president Recep Tayyip Erdoğan is,the largest city in Turkey and the largest city in the world with a population of 15 million people. The city is located on the shores of the Marmara Sea and is the center of the country’s economy. The city is also the center of the country’s political and cultural life. The city is also the,F3_other,"The answer describes Istanbul, not Ankara, and fails to provide the correct capital."
27184,The author of the novel The sorrows of young Werther was born in the country of,the Rhine. He was a German poet and novelist. He was a German poet and novelist. He was a German poet and novelist. He was a German poet and novelist. He was a German poet and novelist. He was a German poet and novelist. He was a German poet and novelist. He was a German,F2_partial,"Provides author info but fails to give the required final answer 'Germany', giving unrelated text instead."
221843,The developer of the game 'Madden NFL 16' has its headquarters in the country of,"Ireland. The company is called 'EA Sports' and it is a subsidiary of the company 'Electronic Arts'. The company was founded in 1982 and is headquartered in Redwood City, California. The company has a total of 10,000 employees and is listed on the NASDAQ stock exchange. The company's",F3_other,"The answer gives an incorrect final country (Ireland) instead of the United States, despite mentioning EA-related facts."
54209,The father of the author of the novel Great Expectations is named,"in the novel. The father of the author of the novel Great Expectations is named in the novel.
The father of the author of the novel Great Expectations is named in the novel.
The father of the author of the novel Great Expectations is named in the novel.
The father of the author of the novel Great",F3_other,The answer is nonsensical and does not provide the correct father name 'John Dickens'
277105,The city where the headquarters of Tajik State Institute of Languages is located is in the country of,Tajikistan. The city is located in the country of Tajikistan. The city is located in the country of Tajikistan. The city is located in the country of Tajikistan. The city is located in the country of Tajikistan. The city is located in the country of Tajikistan.,success,Local classification
4hop1__131661_85073_830682_68600,When was way down by the performer of Live in the large city southeastern of the US state having Pyramid Lake Fault Zone released?,The answer is 2010. The album was released on the label of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the,F3_other,"The answer is incorrect (2010 vs. required August 16, 1977) and does not include the required intermediate fact."
54535,The father of the author of the novel Villette is named,"in the novel as a man of letters, but the author of the novel is not named. The author of the novel is a man of letters, but the father of the author is not named. The author of the novel is a man of letters, but the father of the author is not named. The author of",F3_other,Answer is nonsensical and does not provide the correct father name (Patrick Brontë)
220,The author of the novel A Passage to India was born in the city of,Calcutta in 1904. She was the daughter of a British civil servant and a Bengali mother. Her father was a member of the Indian Civil Service and was posted to the city of Calcutta. He was a member of the Indian Civil Service and was posted to the city of Calcutta.,F3_other,"The answer gives Calcutta and unrelated details, which is incorrect; the correct city is London."
276924,The city where the headquarters of Belarusian State Economic University is located is in the country of,Belarus. The city is located in the country of Belarus. The city is located in the country of Belarus. The city is located in the country of Belarus. The city is located in the country of Belarus. The city is located in the country of Belarus. The city is located in the country of Belarus. The city,success,Local classification
131493,The capital of the country led by president Mohamed Ould Ghazouani is,the second largest city in the country. The city is located in the north of the country and is the capital of the region of the same name. The city is located on the banks of the river Senegal and is the largest city in the country. The city is located in the north of the country and is the,F3_other,The answer does not provide the correct capital (Nouakchott) and is unrelated/inaccurate.
2hop__78083_188496,In what area is the birth place of the writer who wrote pyramus and thisbe in midsummer night dream located?,"A. london B. england C. france D. america
In what area is the birth place of the writer who wrote pyramus and thisbe in midsummer night dream located?
A. london
B. england
C. france
D. america
Answer: A",F3_other,"The model answer selects 'London' which is incorrect; the correct answer is Stratford-upon-Avon, and the response lacks the required intermediate fact."
3hop1__35248_69948_617898,Who was the spouse of the president of the Russian Republic at the time of the disintegration of the union that backed two puppet regimes in/around Iran during WWII?,"The answer is the wife of the president of the Russian Republic, who was the wife of the president of the Russian Republic, who was the wife of the president of the Russian Republic, who was the wife of the president of the Russian Republic, who was the wife of the president of the Russian Republic, who was the",F3_other,The answer is nonsensical and does not provide the required spouse name (Raisa Maximovna Gorbacheva)
54175,"The father of the author of the novel Frankenstein; or, The Modern Prometheus is named","as the author of the novel Frankenstein; or, The Modern Prometheus. The father of the author of the novel Frankenstein; or, The Modern Prometheus is named as the author of the novel Frankenstein; or, The Modern Prometheus.
The father of the author of the novel Frankenstein; or, The Modern Prometheus",F3_other,The answer is nonsensical and does not provide the correct father name (William Godwin); it fails to include any relevant facts.
